,grayscale_ent,grayscale_ent_devN2,grayscale_std,grayscale_std_devN2,grayscale_skew,grayscale_skew_devN2,saturation_ent,saturation_ent_devN2,saturation_std,saturation_std_devN2,saturation_skew,saturation_skew_devN2,labels,file_names
140,5.579405940982617,1.4198970297453193,12.188031329273416,10.232523284399587,0.6173527187150825,1.65326644192941,5.885800337640392,0.1637955688519791,14.361271421866002,1.4651762876281358,-0.13955146032970026,0.277309624260242,C,Sample13_1h165C_100x_5.tif
141,4.987757058116249,0.7708001324282477,7.750360364507808,3.849120372346899,0.047224328226287984,0.7372000844970206,6.198597318492323,0.11409489606058662,17.977037335155295,1.367220699801562,-0.19398007026538547,0.24671925167598804,C,Sample13_30m165C_100x.tif
142,5.059314793604077,1.0034049144763009,8.166582680299015,4.990816923885476,0.2856860733634229,1.2821861022172756,6.133920548430134,0.20127358450804522,17.17026950079135,2.358538309700816,-0.21191930696391748,0.3055051967616946,C,Sample13_30m165C_100x_2.tif
143,5.201482757156408,0.9193709040267335,9.199263522674634,5.353961186089888,0.5938126313647569,1.1333065990419087,6.256126019203678,0.13807163065560596,18.752853221299233,1.7037737106769812,-0.1898437388876786,0.26736985858495704,C,Sample13_30m165C_100x_3.tif
144,5.413319284661659,1.1389453754024454,10.637081438663882,7.293192655217797,0.4694912984844292,1.4216366796257909,6.149953758116889,0.08451755579195863,17.50194472294883,0.7653249242807059,-0.35364845696603525,0.5005038427786562,C,Sample13_30m165C_100x_4.tif
145,5.440086831575883,1.2025884226107337,11.204399890201106,8.279444682125156,0.7493948509135564,1.1661110091150735,6.1169513241094995,0.11973785896379786,16.873979041685832,1.4403322953471098,0.002312656240630949,0.2886860989184154,C,Sample13_30m165C_100x_5.tif
146,4.531672933610287,0.8363610842593656,5.695091568322744,3.1179569848236683,0.06489396537014229,0.4138213232624191,6.168129354149225,0.16999582028648177,18.39418246104616,1.8916307031357207,-0.3740446445470472,0.12852939405643327,C,Sample13_As Cast_100x.tif
147,4.508405638772169,0.9379045481468382,5.603723695279307,3.4259729433989508,-0.1500888313630222,0.2607208370325321,6.178172025704887,0.25112597040265583,18.683140812542447,3.0741633842994625,-0.3300136353732172,0.1616412493338619,C,Sample13_As Cast_100x_2.tif
148,5.030112774431914,0.9285516552989809,8.168450146024771,5.046411388361765,0.43366062811119765,0.08123484515276129,6.624333776998196,0.07896297188897124,29.006420353478195,5.177288662476,0.4454165924480289,0.11596212592364849,C,Sample13_As Cast_100x_3.tif
149,5.042318252693463,1.0022099176659223,8.28346545007129,5.315095275673087,0.512639563699383,0.661903381497404,6.623333469663021,0.05129005328756405,29.39550394423142,3.5011027970543105,0.3615909030222255,0.13084856848838516,C,Sample13_As Cast_100x_4.tif
150,4.844887719209773,0.8525855570443982,7.091596190344574,3.9005989366520235,-0.46580041277661044,1.0134048946234315,6.6486805904858475,0.06801155546153671,27.857578865199322,1.156475553823345,0.02083663510144605,0.26522551390996385,C,Sample13_As Cast_100x_5.tif
151,6.44530699054523,1.2811368044750704,22.311930876266835,16.46819413339235,0.37724975218400947,0.1655323133662722,6.121175808589226,0.12245613964685625,18.203832559032893,2.7460959743610407,-0.8067905897031903,0.21493252074094277,C,Sample5_12hAnnealat150C_100x.tif
152,6.287408157198081,1.097102781118605,21.112570080752327,14.831827711735777,0.8506284319523205,0.47286809931233514,5.687033688904308,0.1085638352481483,12.47060095541479,0.9228888030276975,-0.0037801497199241568,0.11268899643370173,C,Sample5_12hAnnealat150C_100x_2.tif
153,5.618210463792713,1.082840381445559,14.17303168969427,10.406280108791716,1.3181531649741245,0.7277463155942567,5.82806069634628,0.17253391197382276,13.835491928162625,1.498419147129836,-0.06852523872825474,0.13013508410176508,C,Sample5_12hAnnealat150C_100x_3.tif
154,5.8163960614419805,1.1841850005053676,16.021080516565597,12.477117055870846,1.1941431387430452,0.8429690550807221,5.790487628378405,0.16401878848749735,13.456476583292273,1.3976604920218714,-0.08742362256365996,0.12482364667172056,C,Sample5_12hAnnealat150C_100x_4.tif
155,6.280885918338379,1.0773082163498349,20.881177676509118,14.785985730256039,0.8836745946100674,0.5733205325920265,5.756259634428953,0.12028811571776843,13.087498231912774,1.0624530442800737,0.03563965199750128,0.21289322095935767,C,Sample5_12hAnnealat150C_100x_5.tif
156,5.943033314881626,1.260842076420259,16.194828529241324,12.750164198934783,0.9365875135800326,0.2556252536845849,6.06409190736495,0.12760571649707053,16.367944856208645,1.282941027043986,0.34604369018539916,0.19512061368875305,C,Sample5_1h165C_100x.tif
157,6.415786084427558,1.1660527134137477,23.67938353342955,18.100045956015244,0.9515411070509832,0.6876742140102747,5.962197671026213,0.21496849641973909,15.424411811305365,2.2913426691926464,0.49155597410778723,0.2542503466067491,C,Sample5_1h165C_100x_2.tif
158,6.630373713315104,1.2073718344887632,25.9331016068854,18.485572466790412,0.6382330875699626,0.14087490859902116,6.366107157556807,0.07832883045579835,20.94743737084427,1.730304698875546,0.4855089556414456,0.21483426539900785,C,Sample5_1h165C_100x_3.tif
159,6.102076966711135,1.1754093433106005,17.99938054951193,13.434313978303114,0.8227921640096488,0.12359873280081042,6.191370236810899,0.12471511965574394,18.026460036612868,1.439010310487087,0.4205167076032213,0.42116938621642197,C,Sample5_1h165C_100x_4.tif
160,6.6098343414890985,1.2054491148311979,25.520190670558556,17.92558981965535,0.6243829092359318,0.1805318645374318,6.241632826625828,0.09398161440836235,18.927907601976464,1.061103758486789,0.4585722522500983,0.21623858572346302,C,Sample5_1h165C_100x_5.tif
161,6.030770709023415,1.4853054942980808,16.05571766374554,14.107424113378956,0.24711733277061482,0.7475344372422541,5.571054925926353,0.306422421508779,11.841832941912887,2.985525032435879,-0.5057011245892664,0.3865882880677206,C,Sample5_1hAnnealat150C_100x.tif
162,5.870801743203506,1.3233050671354534,14.447082734771987,12.072604873679198,0.30591622426655696,0.40058341098910877,5.7900424613226456,0.17752721686686648,13.534495687254088,1.5848754557570812,-0.2668955226112976,0.06465775477920765,C,Sample5_1hAnnealat150C_100x_2.tif
163,6.18665667438398,1.207680904125307,18.844748376833323,14.029130596365375,0.3826913242093864,0.6721284638346511,5.5895350890529585,0.3694443127835935,11.671578602047463,2.9264913636619023,-0.12275643355770041,0.1566590041433201,C,Sample5_1hAnnealat150C_100x_3.tif
