Polymer,WhiteDensity_unweighted,WhiteDensity_weighted,Entropy,IntensitySum,IntensityStd,IntensityMean,IntensityMed,Skew
_PBD_1_120sp_20m100C_x10_4,0.656794856041597,0.660867836840676,6.46696088278953,336418.879372034,0.0896265491153421,0.271958247675093,0.264705882352941,0.262222201150961
_PBD_1_120sp_2h100C_x10_3,0.601804815427995,0.604169159207905,6.61759252516379,362484.969978272,0.102611302823619,0.293029860357012,0.275862068965517,0.000843689794234295
_PBD_1_160sp_10m100C_x10_1,0.3395398957498,0.340957814884756,6.57352090774386,358565.311383438,0.121113013735454,0.289861240673939,0.323308270676692,-0.338485970565251
_PBD_1_160sp_10m100C_x10_2,0.521196031766562,0.522644568739168,6.64052471654084,306502.076617238,0.121488880517233,0.247773751048676,0.238993710691824,0.155417455072597
_PBD_1_160sp_2h100C_x10_2,0.403950933854153,0.408440943748868,6.49035266285285,294282.068839802,0.0918629723370547,0.237895197538449,0.243243243243243,0.157340891867135
_PBD_1_160sp_30min100C_x10_3,0.396499987065732,0.398968815479732,6.47632189128016,296588.924516831,0.103659475456153,0.239760040643376,0.244274809160305,0.789124645570053
_PBD_1_80sp_19h80C_30m125C_x10_2,0.331336336239232,0.333105804737822,6.19079725628579,429518.299553848,0.0829970188557581,0.347219051169458,0.37012987012987,-0.915856111097493
_PBD_1_80sp_19h80C_30m125C_x10_4,0.290981419923946,0.292993709095377,6.03708166603654,455504.357617363,0.0719404672152986,0.36822596620386,0.385542168674699,-1.07203678887115
_PBD_1_80sp_19h80C_30m125C_x10_5,0.318514434643144,0.320192251726725,6.31916303031778,424158.413927555,0.0864843740597164,0.342886163831547,0.364406779661017,-0.7945996319811
_PBD_1_80sp_20m100C_x10_3,0.215597272162868,0.217051771024653,5.96107649829373,469674.094202944,0.0826476661228214,0.379680664403394,0.407407407407407,-1.40382557822068
_PBD_1_80sp_20m100C_x10_4,0.480275241224099,0.482147678622242,6.17528360062229,413014.427384776,0.0921894190635725,0.333877457013587,0.342657342657343,-0.330633556383902
_PBD_1_80sp_20m125C_x10_1,0.462552868820653,0.466800260140466,6.49994374169303,401254.865054474,0.0923782240039149,0.32437112380558,0.326424870466321,-0.525633374703874
_PBD_1_80sp_30min100C_x10_2,0.327697764958481,0.329464505134904,6.24675901476235,440157.502583743,0.0932144849353249,0.355819695158495,0.388888888888889,-0.855211896202177
_PBD_1_=120sp_1h100C_x10_1,0.651284049460641,0.653926480003622,6.50886112998496,353729.097534453,0.0944989755908218,0.285951685282139,0.271739130434783,0.251650282372112
_PBD_1_=120sp_1h100C_x10_2,0.661142386889826,0.663666590138914,6.49526818091452,356795.836143151,0.095285447868327,0.288430811482357,0.272727272727273,0.281476047295626
_PBD_1_=120sp_1h100C_x10_3,0.693292126911038,0.695295119577308,6.51635514925777,343369.254596528,0.0957909086565481,0.277576873687599,0.267441860465116,0.214062925293175
