Polymer,WhiteDensity_unweighted,WhiteDensity_weighted,Entropy,IntensitySum,IntensityStd,IntensityMean,IntensityMed,Skew
_PBD_1_160sp_19h80C_x10_3,0.391358615515948,0.394527005943296,6.0447206710117,315611.77663282,0.0682195465762571,0.255137957414585,0.263565891472868,0.0458452072850329
_PBD_1_160sp_19h80C_x10_4,0.757831699304136,0.76009125530305,6.48576056845762,319898.105177265,0.094096622895314,0.258602990061038,0.247311827956989,0.465518533052685
_PBD_1_160sp_2h100C_x10_3,0.352154849057092,0.355891336788939,6.41181175310919,271167.119477279,0.0904229467289143,0.219209263100214,0.23015873015873,0.0626334396146384
_PBD_1_160sp_30m80C_x10_1,0.862805410404325,0.863448384994956,6.3259246872877,197653.672112696,0.106783128627287,0.159781598507948,0.141666666666667,1.49860548868
_PBD_1_160sp_30m80C_x10_2,0.825913644359366,0.82694333335489,6.42124295657154,215986.10120548,0.112817468578604,0.174601383001041,0.147058823529412,1.36174349514648
_PBD_1_160sp_6h100C_x10_1,0.585704885273042,0.592539534398686,5.88769522741894,262677.874995405,0.0579232693843623,0.212346627870926,0.206185567010309,0.432952121517849
_PBD_1_160sp_6h100C_x10_3,0.709782510282743,0.716877764699796,5.7052131477131,224738.619513422,0.0532217499520466,0.181676846620132,0.174242424242424,0.95170009194362
_PBD_1_80sp_10m100C_x10_1,0.405043071112606,0.407470267351321,5.98468619133085,280271.701713599,0.0908974929406459,0.226569332295573,0.252336448598131,0.129215866454135
_PBD_1_80sp_10m100C_x10_2,0.388672329720361,0.393955776120754,6.25489991810434,290210.819408963,0.0797494702380674,0.234604033073702,0.238095238095238,0.322565296013281
_PBD_1_80sp_10m100C_x10_3,0.374826195773081,0.379500518987505,6.16513775006864,281201.290291321,0.0733559712816658,0.227320804035589,0.231884057971014,0.196693364251388
_PBD_1_80sp_10m100C_x10_4,0.317392386889826,0.321274890382078,6.10608898193601,301097.964087123,0.0723858670277109,0.243405111046449,0.25503355704698,-0.175430240848628
_PBD_1_80sp_20m100C_x10_2,0.148618781850635,0.150244760813048,5.82103800364477,483092.399590908,0.0723190938110721,0.390527911819745,0.410071942446043,-1.79719141215649
_PBD_1_80sp_3m100C_x10_1,0.331019446672013,0.335178218045891,5.5975286754584,318537.91335747,0.0513370899309672,0.257503422211267,0.263157894736842,-0.717635809785077
_PBD_1_80sp_3m100C_x10_2,0.138497717101689,0.14017907089919,5.55676926167879,322792.901360195,0.0540455774245636,0.260943119422254,0.270588235294118,-1.05104289809251
_PBD_1_80sp_3m100C_x10_3,0.257772686706159,0.260921877829371,6.03725468832657,301223.644169191,0.0692943870491737,0.243506709788324,0.25,-0.283048488771737
_PBD_1_80sp_3m100C_x10_4,0.209821313086892,0.212280137652948,5.90454604948414,305621.669781012,0.0672287951590602,0.247062037422889,0.256410256410256,-0.596551405714686
_PBD_1_80sp_5m100C_x10_1,0.121721163049383,0.122728217075821,5.39692437656554,331048.399108782,0.0584901204603964,0.267616795720036,0.283018867924528,-1.58482373223656
_PBD_1_80sp_5m100C_x10_2,0.0872982254184236,0.0880741804524407,5.14377716291161,353853.887337445,0.0540298384005249,0.286052564329751,0.3,-1.99280883565159
_PBD_1_80sp_5m100C_x10_3,0.1425024898466,0.143551681293168,5.40259332115715,336304.759784342,0.0660266144733608,0.271865994341535,0.294117647058824,-1.52428799326634
_PBD_1_80sp_5m100C_x10_4,0.110089214113873,0.110926000627312,5.30733925061503,336176.842047587,0.0568819785888673,0.271762586698065,0.28735632183908,-1.80998037687927
