Polymer,WhiteDensity_unweighted,WhiteDensity_weighted,Entropy,IntensitySum,IntensityStd,IntensityMean,IntensityMed,Skew
_PBD_1_120sp_2h80C_x10_1,0.581744574074553,0.592369772130533,6.35952405148596,307276.264819142,0.0797831326159833,0.248399598406452,0.240740740740741,0.281876865854064
_PBD_1_120sp_2h80C_x10_2,0.67677506661148,0.680744270119254,5.95405498018981,296151.240705018,0.0661516232354298,0.239406220659436,0.228915662650602,0.868610624726909
_PBD_1_120sp_30min100C_x10_1,0.614165125333057,0.626232898472463,5.83613609965353,269457.935091406,0.0560914484401509,0.217827572538128,0.211180124223602,0.573349262041776
_PBD_1_160sp_2h80C_x10_3,0.114929055539747,0.11604231203275,5.34731831149894,333427.400040876,0.0512498183615452,0.269539960454184,0.276119402985075,-0.907149925995268
_PBD_1_160sp_30m80C_x10_3,0.444987324417311,0.450042198049512,4.68515209487386,216822.637690989,0.0309953814606816,0.175277632197103,0.175675675675676,1.66647341179884
_PBD_1_160sp_30m80C_x10_4,0.455306445145769,0.461343312660062,4.52618513347579,221162.376135725,0.0276338929754353,0.178785840966485,0.178861788617886,1.8669522259424
_PBD_1_80sp_2h80C_x10_1,0.0955793905372895,0.0964929742672737,5.27818581797244,506982.278985583,0.0553785267994235,0.409840293305209,0.424,-2.69474981398396
_PBD_1_80sp_2m100C_x10_1,0.147588890757172,0.14971890197765,5.34032405162957,330646.786720584,0.0459715528581907,0.26729213557747,0.275862068965517,-1.28562903182769
_PBD_1_80sp_2m100C_x10_2,0.100947111777944,0.10202247490752,5.28073164714355,335407.454785008,0.0479661868993561,0.271140620380047,0.282051282051282,-1.68986244647415
_PBD_1_80sp_2m100C_x10_3,0.158991256434798,0.162073755238379,5.4502866755556,338421.616141301,0.0506043005022859,0.27357724356302,0.283950617283951,-1.35632276812833
_PBD_1_80sp_30m80C_x10_1,0.300297326486794,0.306000025060144,6.20348800002008,438074.482513777,0.0773888468313561,0.354135798912371,0.370689655172414,-0.899593496870454
